2 ms
1 ms
2 ms
2 ms
1 ms
1 ms
1 ms
1 ms
1 ms
2 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
0 ms
0 ms
1 ms
0 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
0 ms
1 ms
1 ms
2 ms
0 ms
1 ms
3 ms
0 ms
0 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
0 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
0 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
0 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
2 ms
1 ms
1 ms
2 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
0 ms
1 ms
0 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
0 ms
1 ms
0 ms
