4 ms
2 ms
3 ms
1 ms
1 ms
2 ms
1 ms
1 ms
1 ms
1 ms
1 ms
1 ms
1 ms
1 ms
1 ms
1 ms
1 ms
3 ms
2 ms
4 ms
1 ms
1 ms
1 ms
1 ms
1 ms
1 ms
2 ms
1 ms
1 ms
1 ms
1 ms
2 ms
1 ms
1 ms
1 ms
1 ms
1 ms
2 ms
1 ms
1 ms
5 ms
3 ms
4 ms
1 ms
2 ms
1 ms
1 ms
1 ms
1 ms
1 ms
2 ms
1 ms
1 ms
1 ms
2 ms
1 ms
2 ms
1 ms
5 ms
3 ms
3 ms
1 ms
2 ms
1 ms
1 ms
1 ms
2 ms
1 ms
1 ms
2 ms
1 ms
1 ms
1 ms
2 ms
1 ms
4 ms
2 ms
2 ms
4 ms
2 ms
1 ms
1 ms
1 ms
1 ms
1 ms
1 ms
2 ms
2 ms
1 ms
2 ms
2 ms
2 ms
4 ms
1 ms
1 ms
1 ms
2 ms
1 ms
3 ms
3 ms
