2 ms
1 ms
2 ms
2 ms
1 ms
2 ms
2 ms
1 ms
2 ms
3 ms
2 ms
2 ms
2 ms
2 ms
2 ms
1 ms
1 ms
1 ms
2 ms
2 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
1 ms
1 ms
0 ms
1 ms
1 ms
1 ms
0 ms
1 ms
1 ms
1 ms
1 ms
1 ms
2 ms
1 ms
2 ms
1 ms
0 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
0 ms
1 ms
1 ms
21 ms
2 ms
3 ms
2 ms
2 ms
2 ms
1 ms
10 ms
2 ms
1 ms
1 ms
3 ms
3 ms
2 ms
2 ms
25 ms
1 ms
1 ms
2 ms
1 ms
1 ms
2 ms
1 ms
1 ms
11 ms
1 ms
4 ms
3 ms
4 ms
2 ms
2 ms
